dept4dig,course#,name,instructor,xlisted_w,ORCdescription,prereqs,Alldistribs,coreqs
ASCL,80.01,Colonial Photography,Hockley,,"This course examines the uses of photography by colonial governments, anthropologists, commercial photographers, and tourists in nineteenth-century Asia and the Middle East. It also addresses indigenous uses of photography that conform with and/or react against colonialist uses of the medium. The primary focus of the course is on photographs but consideration is also given to the diffusion of photographic images into other media including news publications, government documents, scientific studies, travelogues, fiction, textbooks, and museum displays.",,INT or ART; WCult:CI,
ASCL,80.03,Arts and Culture of Korea’s Last Dynasty,Kim,ARTH 82.01,"This course provides an introduction to the arts and culture of the Joseon dynasty (1392-1910), which was founded on Confucianism.  We will examine Confucian philosophy and how Confucian ideas shaped the social hierarchy, gender roles, and aesthetic values through exploration of the architecture of royal palaces and aristocratic houses, paintings both sacred and secular, ceramics, textiles and other crafts.  Use of color, symbolic motifs, and stories in the arts and culture will be investigated.  Understanding Korea’s final 500-year dynasty will deepen your comprehension of contemporary Korean culture as it manifests the legacy Joseon Korea.",,INT or ART; WCult:NW,
ASCL,80.04,Lu Xun and Hu Shi,ASCL Faculty,,"Through the writings of Lu Xun (1881-1936) and Hu Shi (1891-1962), two of the most important scholar-writers of the twentieth century, this course will examine several issues that were raised during the first two decades of this century by Chinese intellectuals who felt an acute, ever-increasing inadequacy of their own cultural heritage in the face of Western democracy and technological and scientific advancements. Those issues, raised more than seven decades ago, have persistently engaged the central attention of modern Chinese intellectuals, and include discussions of China's modernization (or Westernization) and of China's vernacular language movement, debates about various political and social philosophies, questions surrounding the so-called new culture movement, and other such issues. The seminar will be conducted in English; however, readings will include several original articles in Chinese. Permission of instructor required.",,LIT; WCult:NW,
ASCL,80.05,Regional Identity in Modern Chinese Literature,Gibbs,,"How does the concept of “region” in contemporary Chinese literature connect to discussions of gender, ethnicity, tradition/modernity, country/city, and north/south? In this course, we will examine ways in which contemporary writers have evoked place through literature, looking at how social discussions occur across/between spaces. Students will be encouraged to explore authors, places, and subtopics related to their own interests in the final papers. No knowledge of the Chinese language is required for this course, although students who can read Chinese are encouraged to make use of Chinese-language materials.",,LIT; WCult:NW,
ASCL,80.06,Chinese Calligraphy and Manuscript Culture: Orchid Pavillion,ASCL Faculty,,"Courses numbered 81 or above are advanced seminar courses. May be repeated for credit if topic varies.   As the most well-known masterpiece of Chinese calligraphy, the Orchid Pavilion by Wang Xizhi (Wang Hsi-chih), the Sage of Chinese Calligraphy, has become a unique epitome of Chinese art, culture and intellectual tradition. This advanced Chinese calligraphy seminar will investigate the contents, contexts and controversies of the art, culture, style and technique of the Orchid Pavilion.",,ART; WCult:NW,
ASCL,80.07,The History of Development in Asia,Miller,,"For more than a century, development has been a central theme in the study of Asian politics, culture, and societies.  But what is “development,” exactly?  This seminar explores the history of development in Asia by treating development as a species of politics, rather than a socio-economic process.  In the assigned readings and discussions, we will examine the complex interactions between development and empire in various places in Asia, in both colonial and postcolonial contexts.  We will also compare recent efforts by scholars to develop new methodological approaches to the study of development ideas and practices in Asia.  In addition to completing the assigned readings, each student will write an article-length paper about a particular topic or event in the history of development in Asia.  This paper must be based on original research in primary sources.",,INT or SOC; WCult:NW,
ASCL,80.08,Imperialism in Modern East Asia,Mills,HIST 077,"An examination of Western and Japanese imperialism in East Asia from the Opium War to the Pacific War. Subjects to be treated include the imposition of unequal treaties, the ""scramble for concessions"" in China, the creation of Japan's formal and informal empires, and the rise and fall of the Greater East Asia Co-Prosperity Sphere. Open to all classes.",,INT or SOC; WCult:NW,
ASCL,89,Independent Research,ASCL Faculty,,Independent research under the direction of members of the staff. Students should consult with a member of the staff in the term preceding the term in which the independent work is to be done.,,,
ASCL,90,Honors Thesis I,ASCL Faculty,,"            The ASCL Honors Program consists of a two-term, two-course sequence comprised of ASCL 90 and ASCL 91, during which the student completes an honors thesis. To qualify for the Honors Program the applicant must have a GPA of 3.0 overall and GPA of 3.4 in the major. Admission to the program is contingent upon acceptance of the applicant’s thesis proposal. Students should develop a thesis proposal in consultation with a prospective advisor. The primary advisor for an honors thesis must be an ACSL affiliated faculty member. Secondary advisors drawn from ASCL or other departments and programs are encouraged when the student’s project warrants additional expertise. Proposal guidelines can be found on the ASCL website.",,,
ASCL,91,Honors Thesis II,ASCL Faculty,,Students are awarded one course credit for successful completion of this course. Students who have registered for ASCL-090 register for ASCL-091 to complete the coursework. A final grade will replace the “ON” for ASCL-090 upon completion of this course for a total of 2 credits for ASCL-090 and ASCL-091.,,,
CHIN,1,First-Year Courses in Chinese,Yan,,"An introduction to spoken and written Modern Standard Chinese. Conversational drill and comprehension exercises in classroom and laboratory provide practice in pronunciation and the use of the basic patterns of speech. Intensive reading is conducted for textbook lessons. Grammar is explained, and written exercises given. Traditional characters are learned in Chinese 1 and 2; simplified characters are introduced in Chinese 3. Classes are conducted increasingly in Chinese. Mandatory student-run drill sessions meet Monday to Thursday for fifty minutes each day for all beginning Chinese language classes. Students who plan to use these courses to fulfill the language requirement may not take it under the Non-Recording Option. ",,,
CHIN,2,First-Year Courses in Chinese,"Yan, A. Li",,"An introduction to spoken and written Modern Standard Chinese. Conversational drill and comprehension exercises in classroom and laboratory provide practice in pronunciation and the use of the basic patterns of speech. Intensive reading is conducted for textbook lessons. Grammar is explained, and written exercises given. Traditional characters are learned in Chinese 1 and 2; simplified characters are introduced in Chinese 3. Classes are conducted increasingly in Chinese. Mandatory student-run drill sessions meet Monday to Thursday for fifty minutes each day for all beginning Chinese language classes.",,,
CHIN,3,First-Year Courses in Chinese,A. Li,,"An introduction to spoken and written Modern Standard Chinese. Conversational drill and comprehension exercises in classroom and laboratory provide practice in pronunciation and the use of the basic patterns of speech. Intensive reading is conducted for textbook lessons. Grammar is explained, and written exercises given. Traditional characters are learned in Chinese 1 and 2; simplified characters are introduced in Chinese 3. Classes are conducted increasingly in Chinese. Mandatory student-run drill sessions meet Monday to Thursday for fifty minutes each day for all beginning Chinese language classes.",,,
CHIN,4,Advanced First-Year Chinese,"Chen, A. Li",,"This course is designed for students with varying, minimal levels of competence in speaking, listening, reading, and writing. Weekly class hours include four sixty-five minute sessions with the master teacher and up to four fifty-minute drill and/or conversation sessions. There are weekly exams, a midterm, and a final, as well as writing assignments, oral presentations, and supplementary work assigned as needed. This course seeks to achieve two goals: 1) to help students equalize their levels of the required speaking, listening, reading, and writing skills; 2) to allow them to raise these levels and thereby significantly increase their understanding of Modern Standard Chinese. Chinese 4 is an accelerated first-year course. Satisfactory completion of Chinese 4 satisfies the Foreign Language Requirement and places the student into the 20-level series.",,,
CHIN,22,Intermediate Modern Chinese (Second-year level),"Chen, Yan",,"CHIN 22 and CHIN 23 cover a full second-year level course, using the textbook Integrated Chinese, Level Two and a variety of other materials. The course is designed for students who have completed CHIN 4 or the equivalent. Students who have only completed CHIN 3 may be eligible for this course with permission of the instructor. Class hours include four sixty-five or five fifty-minute sessions with the master teacher and up to four fifty-minute drill and/or conversation sessions. There are weekly exams, a midterm, and a final, as well as writing assignments, oral presentations, and supplementary work assigned as needed. This series is intended to raise the student’s levels in speaking, listening, reading, and writing skills and, thereby, significantly increase their understanding of Modern Standard Chinese.",,LIT; WCult:NW,
CHIN,23,Intermediate Modern Chinese (Second-year level),"Yan, BNU Faculty ",,"CHIN 22 and CHIN 23 cover a full second-year level course, using the textbook Integrated Chinese, Level Two and a variety of other materials. The course is designed for students who have completed CHIN 4 or CHIN 21 or the equivalent. Students who have only completed CHIN 3 may be eligible for this course with permission of the instructor. Class hours include four sixty-five or five fifty-minute sessions with the master teacher and up to four fifty-minute drill and/or conversation sessions. There are weekly exams, a midterm, and a final, as well as writing assignments, oral presentations, and supplementary work assigned as needed. This series is intended to raise the student’s levels in speaking, listening, reading, and writing skills and, thereby, significantly increase their understanding of Modern Standard Chinese.",,LIT; WCult:NW,
CHIN,31,Advanced Modern Chinese (Third-year level), TBD,,"This course is not repeatable. Under some circumstances and with the permission of the instructor, this series (31, 32 and 33) may be taken non-sequentially. Readings will be selected from literary, political, and historical publications. There will be regular exams, writing exercises, oral presentations, and supplementary work assigned as needed.",CHIN 23 or permission of the instructor.,LIT; WCult:NW,
CHIN,32,Advanced Modern Chinese (Third-year level), TBD,,"This course is not repeatable. Under some circumstances and with the permission of the instructor, this series (31, 32 and 33) may be taken non-sequentially. Readings will be selected from literary, political, and historical publications. There will be regular exams, writing exercises, oral presentations, and supplementary work assigned as needed.",CHIN 23 or permission of the instructor.,LIT; WCult:NW,
CHIN,33,Advanced Modern Chinese (Third-year level), TBD,,"This course is not repeatable. Under some circumstances and with the permission of the instructor, this series (31, 32 and 33) may be taken non-sequentially. Readings will be selected from literary, political, and historical publications. There will be regular exams, writing exercises, oral presentations, and supplementary work assigned as needed.",CHIN 23 or permission of the instructor.,LIT; WCult:NW,
CHIN,40,Advanced Chinese,,,"040 courses are “topics courses” designed to develop mastery of the spoken and written language. Students who have completed at least two 30-level courses are encouraged to continue their language study through 040 courses. Depending on the topic, readings are drawn from literary, cultural, political, business, and historical publications. Assigned work includes written and oral presentations.",,,
CHIN,40.03,Advanced Reading in Modern Chinese Short Stories (Fourth-year level),A. Li,,"This course aims to help students develop an ability to use Chinese at an advanced level – critical reading of original literary works, writing and speaking to express a broad range of topics, as well as literature appreciation, through reading selected modern Chinese short stories by well-known Chinese writers. Not open to students who have received credit for CHIN 043.",,LIT; WCult:NW,
CHIN,40.04,Advanced Chinese for Commerce and Economics,Yan,,"This course will improve students’ four communication skills (reading, writing, listening, and speaking), with a particular emphasis on speaking and writing, while also introducing students to an array of authentic and relevant economy-related topics and materials in Chinese. Course materials will include essays, dialogues, business cases and newspaper articles, as well as supplementary audio-visual materials. Students will learn about the general economic and business environment in China, and will use the case study method to gain insights into the business models of specific, influential Chinese companies and international firms that have successfully entered the Chinese market. The course will further develop students’ Chinese proficiency at an advanced level. The combination of textbook and supplementary readings, and topic-based knowledge beyond “pure language” will achieve the goal of enhancing both students’ language ability and their understanding of the world of Chinese business.",,,
CHIN,41,Advanced Chinese (Fourth-year level),TBD,,"Advanced readings from literary, political, and historical publications.",Two third-year level Chinese courses or permission of the instructor.,LIT; WCult:NW,
CHIN,42,Advanced Chinese (Fourth-year level), TBD,,"Advanced readings from literary, political, and historical publications.",Two third-year level Chinese courses or permission of the instructor.,LIT; WCult:NW,
CHIN,45.01,Introduction to Classical Chinese, TBD,,"An introduction to the basic grammar and vocabulary of the Classical Chinese language, using examples from a selection of texts from the Warring States Period (5th to 3rd century B.C.E.).",,LIT; WCult:NW,
CHIN,49,Independent Advanced Study in Chinese Language and Literature,ASCL Faculty,,"Available to students who wish to do advanced or independent study in Chinese. Chinese 49 may be considered a non-language course with approval of the advisor. The student must first submit a proposal to the Major/Minor advisor, and the section faculty, before obtaining permission from the faculty member with whom he or she wishes to work. ",,LIT; WCult:NW,
JAPN,1,First-Year Courses in Japanese,"Ishida, Watanabe",,"An introduction to written and spoken modern Japanese. In addition to mastering the basics of grammar, emphasis is placed on active functional communication in the language, reading comprehension, and listening comprehension. Conversational drill and comprehensive exercises in classroom and laboratory provide practice in pronunciation and the use of the basic patterns of speech. Classes are conducted in Japanese. Reading in simple materials is extensive. Mandatory student-run drill sessions meet four times a week for fifty minutes for all beginning Japanese language classes.",,,
JAPN,2,First-Year Courses in Japanese,"Ishida, Watanabe",,"An introduction to written and spoken modern Japanese. In addition to mastering the basics of grammar, emphasis is placed on active functional communication in the language, reading comprehension, and listening comprehension. Conversational drill and comprehensive exercises in classroom and laboratory provide practice in pronunciation and the use of the basic patterns of speech. Classes are conducted in Japanese. Reading in simple materials is extensive. Mandatory student-run drill sessions meet four times a week for fifty minutes for all beginning Japanese language classes.",,,
JAPN,3,First-Year Courses in Japanese,"Ishida, Watanabe",,"An introduction to written and spoken modern Japanese. In addition to mastering the basics of grammar, emphasis is placed on active functional communication in the language, reading comprehension, and listening comprehension. Conversational drill and comprehensive exercises in classroom and laboratory provide practice in pronunciation and the use of the basic patterns of speech. Classes are conducted in Japanese. Reading in simple materials is extensive. Mandatory student-run drill sessions meet four times a week for fifty minutes for all beginning Japanese language classes. Students who plan to use this course to fulfill the language requirement may not take it under the Non-Recording Option. Satisfactory completion of Japanese 3 fulfills the language requirement.",,,
JAPN,22,Intermediate Modern Japanese,Ishida,,"A continuation of the fundamentals of grammar and further acquisition of spoken communication skills, aural comprehension, and proficiency in reading and writing. This is an intensive course that integrates homestays and the local environment into course materials. Students will be expected to master a wide variety of reading and video materials.",,WCult:NW,
JAPN,23,Intermediate Modern Japanese,Watanabe,,"A continuation of the fundamentals of grammar and further acquisition of spoken communication skills, aural comprehension, and proficiency in reading and writing. This is an intensive course that integrates homestays and the local environment into course materials. Students will be expected to master a wide variety of reading and video materials.",,WCult:NW,
JAPN,31,Advanced Japanese,Watanabe,,"A progression of materials from JAPN 23. Intensive review and continued study of modern Japanese at the advanced level. Conversation skills will continue to be an important aspect of this course, but more emphasis will be placed on reading and writing skills. Reading materials will be drawn from current newspapers, contemporary fiction, essays from journals, and excerpts from poetry. Short audiovisual selections will be used as well. Assigned work includes written compositions and oral presentations.",JAPN 23 or permission of instructor.,LIT; WCult:NW,
JAPN,32,Advanced Japanese,Ishida,,"A progression of materials from JAPN 31. A variation of materials used in JAPN 31. Note: Although the materials used in this course differ from the materials used in JAPN 31, the general level of proficiency required to enroll in either JAPN 31 or JAPN 32 is roughly equivalent. Students may take JAPN 32 even if they have been unable to enroll in JAPN 31.",JAPN 31 or permission of instructor.,LIT; WCult:NW,
JAPN,33,Advanced Japanese,Ishida,,A continuation and progression of materials used in JAPN 31 and JAPN 32. Note: the level of proficiency required to enroll in JAPN 33 is higher than the proficiency required for either JAPN 31 or JAPN 32.,JAPN 32 or permission of instructor.,LIT; WCult:NW,
JAPN,40,Advanced Japanese,,,"040 courses are “topics courses” designed to develop mastery of the spoken and written language. Students who have completed at least two 30-level courses are encouraged to continue their language study through 040 courses. Depending on the topic, readings are drawn from literary, cultural, political, business, and historical publications. Assigned work includes written and oral presentations.",,,
JAPN,41,Advanced Japanese,Ishida,,"A variation of materials used in JAPN 33. Note: although the materials used in this course differ from the materials used in JAPN 33, the general level of proficiency required to enroll in either JAPN 33 or JAPN 41 is roughly equivalent. Students may take JAPN 41 even if they have been unable to enroll in JAPN 33.","Two third-year level Japanese courses, or permission of the instructor.",LIT; WCult:NW,
JAPN,42,Advanced Japanese,Watanabe,,A progression of materials from JAPN 41. Designed to develop mastery of the spoken and written language. Assigned work includes written compositions and oral presentations.,JAPN 41 or permission of the instructor.,LIT; WCult:NW,
JAPN,43,Advanced Japanese,Watanabe,,A progression of materials from JAPN 41 and JAPN 42. Designed to develop mastery of the spoken and written language. Assigned work includes written compositions and oral presentations.,"JAPN 41 or JAPN 42, or permission of the instructor.",LIT; WCult:NW,
JAPN,45.01,Classical Japanese Grammar and Translation Workshop,Schmidt-Hori,,"The students will first learn the basic grammar and vocabulary of classical Japanese through the textbook and workbook, rather than lectures given by the instructor. Class time is spent on comparing the students’ answers to clarify specific difficulties and doing new exercises as a group. Once the basics are introduced and learned, the students will translate excerpts of classical literature, such as the Tale of Genji and the Tale of the Bamboo Cutter, as homework and compare their works in class.",,LIT; WCult:NW,
JAPN,49,Independent Advanced Study in Japanese Language and Literature,ASCL Faculty,,"Available to students who wish to do advanced or independent study in Japanese. The student must first submit a proposal to the Major/Minor Advisor, and the section faculty, before obtaining permission from the faculty member with whom he or she wishes to work. ",,LIT; WCult:NW,
BIOL,2,Human Biology,Witters,,"A course designed to help students (biologists and non-biologists) understand the biological basis of human health and disease. The course will emphasize the fundamental aspects of biochemistry, genetics, cell and molecular biology, physiology, anatomy, reproductive biology, and structure/function of various organs as they relate to humans. Particular emphasis will be placed on specific topics in human health and disease and how these issues affect us all individually in our own health and collectively in our international society. Open to all students without prerequisite.  BIOL 2 does not count for biology major or minor credit.",,SCI,
BIOL,11,The Science of Life,,,"Biology, like all of science, is a problem-solving endeavor. This course introduces students to a major problem in biology and considers it from many different perspectives, viewpoints and biological levels of organization. Along the way, students are exposed to many of the major concepts in biology, from molecules to ecosystems. Each offering will address a different major problem.  No prerequisites",,SCI,
BIOL,11.03,Emerging Infectious Diseases: How Microbes Rule the World,Guerinot and McClung,,"Emerging infectious diseases, which have shaped the course of humanity and caused untold suffering and death, will continue to challenge society as long as humans and microbes co-exist. This course will explore why infectious diseases emerge and re-emerge. The viruses, bacteria and eukaryotes that cause these diseases continually evolve in response to their hosts. Dynamic interactions between rapidly evolving infectious agents and changes in the environment and in host behavior provide such agents with favorable new ecological niches. In addition, dramatic increases in the worldwide movement of people and goods drive the globalization of disease.
Note: For many students, BIOL 11 will be the entrance course to the major.  To help students determine if they are sufficiently prepared to enter a foundation course directly, the Biology department has established an online self-assessment exam for students.  Students who have any concerns about their preparedness should take BIOL 11 before enrolling in a foundation course.  BIOL 11 may be counted toward the biology major if it is taken either during the first year or as the first biology course counted toward the major. Only one offering of BIOL 11 may be taken for credit.
",No prerequisites,SCI,
BIOL,11.06,Why can't we all just get along? Cooperation and Conflict across the Biological Sciences,R. Calsbeek,,"Cooperation and conflict are universal themes that arise when considering how entities at various levels of organization interact. This is particularly true in biology, from atoms interacting within a molecule, molecules interacting within a cell, or cells interacting within a multicellular organism, individuals interacting within groups, disease organisms interacting within their host, or nations interacting with one another. We will explore how the concepts of game theory apply at the biochemical, cellular and organismal levels to explore how groups of entities at these various levels interact, and how groups transition to individuals. All along the way we will discuss a lot of biology and see how biologists apply what they know to new problems.",No prerequisites,SCI,
BIOL,11.07,Major Events in the History of Life and the Human Genome,Peterson,,"Over the course of the last 4.5 billion years, life has faced a number of challenges, and in response has evolved a number of remarkable innovations.  These innovations are written in DNA, and thus molecular fossils for many of the major events in the history of life can be found within our very own genomes.  This course will survey the human nuclear and mitochondrial genomes, using a gene or region from a chromosome as a “ticket” to a particularly important event or process in the history of life including the origin of life itself (Chromosome 14), the advent of protein synthesis (Chromosome 22), the invention of DNA (Chromosome 8), the rise of atmospheric oxygen (mitochondrion), the origin of species (Chromosome 2), the origin of animals and the rise of macroecology (Chromosome 12), and the origin of humans and human language (Chromosome 7).  ",No prerequisites.,,
BIOL,11.08,Animal Minds,Jack and Laidre,,"Darwin claimed that other species share the same “mental powers” as humans, only to different degrees. This course will examine the evidence for Darwin’s claim, focusing on the evolutionary, neural, and molecular basis of animal cognition. We will ask how and why organisms behave as they do, exploring the ways in which evolution has adapted organisms’ information gathering, perception, learning ability, memory, and decision making to both their physical and social world. Key examples will be drawn from navigation, tool-use, communication, and cultural imitation. An overarching emphasis will be placed on the active process of scientific discovery, especially how strong inference and multiple competing hypotheses enable scientists to make discoveries.",No prerequisites,SCI,
BIOL,12,Cell Structure and Function,"Bickel, Grotz, Bezanilla, He",,"BIOL 12 will provide a foundation in the fundamental mechanisms that govern the structure and function of eukaryotic cells. Topics include membrane transport, energy conversion, signal transduction, protein targeting, cell motility and the cytoskeleton, and the cell cycle. Emphasis will be placed on discussion of the experimental basis for understanding cell function. The laboratory section will provide students with hands-on experience in modern laboratory techniques including microscopy, cell fractionation, and protein purification.  Open to all students without prerequisite. Biology 19 is a foundation course equivalent of Biology 12. Note: BIOL 12/BIOL 19, BIOL 13, BIOL 14, BIOL 15, BIOL 16 may be taken in any order.",,SLA,
BIOL,13,Gene Expression and Inheritance,"Griffin, Amodeo, Dolph, Jack",,"This course provides a foundation in genetics and molecular biology. Topics covered include the flow of genetic information from DNA to RNA to protein, transmission of genetic information from one generation to the next and the molecular mechanisms that control gene expression in bacteria and eukaryotes. These concepts will be integrated into a discussion of contemporary problems and approaches in molecular genetics. Laboratories utilize basic molecular biology techniques to further investigate topics discussed in lecture.  Open to all students without prerequisite. Note: BIOL 12/BIOL 19, BIOL 13, BIOL 14, BIOL 15, BIOL 16 may be taken in any order.",,SLA,
BIOL,14,Physiology,"ter Hofstede, Hill ",,"This course introduces students to the complexity of organisms by studying how their different organ systems strive to maintain internal homeostasis in the face of different environmental demands. The adaptive responses of selected organisms (humans, different animals and plants) to a variety of environmental factors will be studied from the molecular, cell, tissue, organ, and systems level of organization. Some of the topics to be covered include biological control systems (hormones, neurons) and coordinated body functions (circulation, respiration, osmoregulation, digestion). All systems studied will be integrated by analyzing how different organisms adapt to living in extreme environments (deserts, high altitude) or facing changing environmental demand (navigation, exercise). Open to all students without prerequisite. Note: BIOL 12/BIOL 19, BIOL 13, BIOL 14, BIOL 15, BIOL 16 may be taken in any order.",,SLA,
BIOL,15,Genetic Variation and Evolution,Zhaxybayeva,,"This course examines fundamental population-level processes and mechanisms that give rise to diversity of living organisms. The class will explore the interplay of evolutionary forces acting on genetic variation for both single-gene traits and complex traits determined by multiple genes and environmental conditions. Evolution of the human population will serve as the main study system. The class periods will include problem-solving sessions and hands-on activities on experimental evolution, observational data analyses and computer-based evolutionary inferences. Open to all students without prerequisite. Note: BIOL 12/BIOL 19, BIOL 13, BIOL 14, BIOL 15, BIOL 16 may be taken in any order.  NOTE:  As of winter term 2019, this course no longer has a laboratory component and will not meet the SLA requirement.",,SCI,
BIOL,16,Ecology,"Pries, Ayres",,"This course examines fundamental concepts in the rapidly developing areas of ecology. These topics include the factors that limit the distributions and abundances of organisms, the effects that organisms have on ecosystems, the integration of ecosystems around the globe, and the conservation of species diversity. The class will also explore how the behavior and physiology of individual organisms shape both local and global patterns of distribution and abundance. Laboratories focus on experimental and quantitative analyses of local ecosystems, with an emphasis on field studies.  Open to all students without prerequisite. Note: BIOL 12/BIOL 19, BIOL 13, BIOL 14, BIOL 15, BIOL 16 may be taken in any order.",,SLA,
BIOL,19,Honors Cell Structure and Function,Bezanilla,,"This honors introduction to cell biology is for students with a strong background in biology and chemistry. This course will discuss fundamental topics, including protein targeting, the cytoskeleton, membrane transport, cellular energetics, the cell cycle, and signal transduction. The course will emphasize experimental strategies to understand eukaryotic cell function, and the laboratory will provide hands-on experience in modern cell biological techniques, including microscopy, cell fractionation, and protein purification.",,SLA,
BIOL,21,Population Ecology,McPeek,,"This course explores the description of populations, population growth, and the determination of abundance. Examples will be drawn from a diversity of plant and animal taxa to illustrate the broad scope of population ecology, including its role as a foundation for evolutionary ecology and community ecology, and its contributions to applied problems in conservation biology, pest management, human demography, and the management of harvested populations. Throughout, this course will emphasize the development of verbal, graphical, and mathematical models to describe populations, generate predictions, test hypotheses, and formalize theory. No student may receive course credit for both BIOL 21 and BIOL 51. Offered in alternate years.",BIOL 15 or BIOL 16,SCI,
BIOL,22,Methods in Ecology,Trout-Haney,,"This course is an introduction to sampling and survey methodologies for populations and communities in both aquatic and terrestrial environments. The course will be divided into week-long modules, each focusing on a particular group of organisms in the environment. A great deal of emphasis will be placed on hypothesis generation, experimental design and statistical analysis. Participation in the laboratory/field component is both required and critical as one of the primary benefits of this course will be ""on the ground"" training in field methods.",BIOL 16,SLA,
BIOL,23,Social Evolution: Cooperation and Construction Among Animal Architects,Laidre,,"For the evolution of social life, cooperation raises a fundamental problem. Indeed, Darwin regarded cooperation as one of the greatest puzzles for his theory of evolution. If natural selection favors individuals that selfishly maximize their own reproductive success, then why should organisms cooperate at all? Yet evidence for cooperation is ubiquitous in many social animals, from insects to humans. This course will explore how and why cooperation evolves, with the goal of understanding general ecological and evolutionary principles, especially the conditions under which social organisms work together to help one another despite competition and conflicting interests. A central theme of the course will be cases of cooperation in which social animals architecturally construct their surroundings, by building long-lasting shelters.",BIOL 15 or BIOL 16,SCI,
BIOL,24,Vertebrate Zoology,R. Calsbeek,,"This course will examine origins, diversity, structure and function within and among the vertebrate classes (including fish, amphibians, reptiles, birds and mammals). We will consider the evolution of the vertebrate body plan and innovations associated with common organ systems (e.g., skeletal, muscular, digestive, sensory, etc.) shared by different taxa. In addition, we will consider specialization of form and function to the diverse ecology of vertebrates as well as the manner in which very different taxa cope with similar habitats and environmental demands. In so doing, we will draw on evolutionary principles such as adaptation, convergent and parallel evolution and evolutionary constraints. The course will primarily consist of lecture and readings with examination of specimens and opportunities for off-campus field trips. Offered in alternate years.",BIOL 15 or BIOL 16,SCI,
BIOL,25,Introductory Marine Biology and Ecology,Chen,,"A course designed both for biology majors and other students interested in the interrelationships between marine organisms and their physical and biological environments. The course emphasizes the marine environment as an ecosystem with special focus on communities in coastal margin, open ocean, and deep sea habitats ranging from polar to tropical latitudes. Applied issues relevant to human impact and conservation in marine ecosystems will also be covered. Offered in alternate years.","One from among BIOL 12/BIOL 19, BIOL 13, BIOL 14, BIOL 15, or BIOL 16",SCI,
BIOL,26,Global Change Biology,Pries,,"We live in the Anthropocene era in which humans have an outsize effect on the environment. In this course, we will apply ecological concepts to understand the consequences of environmental changes for species and ecosystems. Through discussing scientific literature and exploring long term ecological datasets, we will investigate how humans have altered the environment and the repercussions for biogeochemical cycling and species distributions, phenology, and interactions. We will also evaluate solutions for mitigating these consequences.","BIOL 16, ENVS 2 or GEOG 3",SCI,
BIOL,27,Animal Behavior,R. Calsbeek,,"Behavioral sciences are extremely broad and the study of animal behavior requires an interdisciplinary approach that integrates psychology, ecology, evolutionary biology, neural science and the underpinnings of learning and memory science. We will draw on each of these fields as we explore topics ranging from signaling and cognition to mating behaviors and sexual selection to foraging and optimality theory. We will consider how proximate and ultimate causality structure behavior throughout the animal kingdom. Thus, the course will take an evolutionary approach to understand behavior in vertebrates and insects and other invertebrates; in fresh water and marine systems, and in terrestrial groups. Offered in alternate years. ",BIOL 15 or BIOL 16 or instructor permission,SCI,
BIOL,28,Macroevolution,Peterson,EARS 032,"Macroevolution focuses on the evolutionary process from the perspective of the species and through the lens of deep time. More specifically, it focuses on the issue of whether life is organized hierarchically, and if so, can selection occur at any/all of these other levels, in addition to the level of the organism. This course is especially well suited for discussion and question, as the definition of macroevolution, as well as its very existence, is under intense discussion by both microevolutionists and macroevolutionists alike. Topics covered include punctuated equilibrium, species-level selection, homology, and mass extinctions.","One from BIOL 12/BIOL 19, BIOL 13, BIOL 14, BIOL 15, BIOL 16, or EARS 2; or instructor permission.",SCI,
BIOL,29,Biostatistics,Cottingham,,"The course will cover basic descriptive statistics, simple probability theory, the fundamentals of statistical inference, regression and correlation, t-tests, one-way analysis of varience, basic analyses of frequency data and non-parametric statistics, and the general philosophy of experimental design. We will explore these topics from the perspective of biological applications. Examples will be drawn from all sub-disciplines of biology (e.g. biochemical kinetics, development, physiology, ecology, and evolution).",Two courses in biology numbered 11 or higher.,QDS,
BIOL,31,Physiological Ecology,Staff,,"What factors determine the distribution and abundance of organisms? What are the consequences of climate change for biological communities? This course is an exploration of environmental effects on fundamental physiological processes in plants and animals. Abiotic factors, such as temperature and water availability, interact with biotic forces, such as predation, herbivory, and competition, to constrain the ability of organisms to survive, grow, and reproduce. Physiological solutions that allow success in one environment may preclude it in another. This course seeks to build up from physiological principles to understand characteristics of populations, communities, and ecosystems. Laboratories will challenge students to generate and test their own hypotheses using contemporary theoretical frameworks and modern research apparatus. Offered in alternate years.","One from among BIOL 12/BIOL 19, BIOL 13, BIOL 14, BIOL 15, or BIOL 16",SLA,
BIOL,32,Animal Communication,ter Hofstede,,"Animals, including humans, have evolved to communicate with each other in a multitude of ways.  Using examples from across the animal kingdom, this course will consider the variety of communication systems observed in nature from physical, neurobiological, and evolutionary perspectives.  Comparisons will be made between animals with similar or different solutions to problems in communication, including comparisons with human examples.  The course consists of four parts.  Part I will look at the physics behind signal generation/transmission in different modalities and the neural basis of signal reception, part II will consider evolutionary constraints in generating, receiving and processing signals, part III will consider these principles in the main contexts of communication (mating, conflict, social situations, interspecific interactions), and part IV will integrate this information and these concepts in the context of human communication.  Offered in alternate years.","One from among BIOL 12/BIOL 19, BIOL 13, BIOL 14, BIOL 15, or BIOL 16, or PSYC 6",SCI,
